ID,Province,Regency,District
268,ACEH,KOTA BANDA ACEH,BAITURRAHMAN
269,ACEH,KOTA BANDA ACEH,LUENG BATA
270,ACEH,KOTA BANDA ACEH,KUTA ALAM
271,ACEH,KOTA BANDA ACEH,KUTA RAJA
272,ACEH,KOTA BANDA ACEH,SYIAH KUALA
273,ACEH,KOTA BANDA ACEH,ULEE KARENG
274,ACEH,KOTA SABANG,SUKAJAYA
275,ACEH,KOTA SABANG,SUKAKARYA
276,ACEH,KOTA LANGSA,LANGSA TIMUR
277,ACEH,KOTA LANGSA,LANGSA LAMA
278,ACEH,KOTA LANGSA,LANGSA BARAT
279,ACEH,KOTA LANGSA,LANGSA BARO
280,ACEH,KOTA LANGSA,LANGSA KOTA
281,ACEH,KOTA LHOKSEUMAWE,BLANG MANGAT
282,ACEH,KOTA LHOKSEUMAWE,MUARA DUA
283,ACEH,KOTA LHOKSEUMAWE,MUARA SATU
284,ACEH,KOTA LHOKSEUMAWE,BANDA SAKTI
285,ACEH,KOTA SUBULUSSALAM,SIMPANG KIRI
286,ACEH,KOTA SUBULUSSALAM,PENANGGALAN
287,ACEH,KOTA SUBULUSSALAM,RUNDENG
288,ACEH,KOTA SUBULUSSALAM,SULTAN DAULAT
289,ACEH,KOTA SUBULUSSALAM,LONGKIB
290,SUMATERA UTARA,KABUPATEN NIAS,IDANO GAWO
291,SUMATERA UTARA,KABUPATEN NIAS,BAWOLATO
292,SUMATERA UTARA,KABUPATEN NIAS,ULUGAWO
293,SUMATERA UTARA,KABUPATEN NIAS,GIDO
294,SUMATERA UTARA,KABUPATEN NIAS,SOGAEADU
295,SUMATERA UTARA,KABUPATEN NIAS,MA U
296,SUMATERA UTARA,KABUPATEN NIAS,SOMOLO - MOLO
297,SUMATERA UTARA,KABUPATEN NIAS,HILIDUHO
298,SUMATERA UTARA,KABUPATEN NIAS,HILI SERANGKAI
299,SUMATERA UTARA,KABUPATEN NIAS,BOTOMUZOI
300,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,BATAHAN
301,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,SINUNUKAN
302,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,BATANG NATAL
303,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,LINGGA BAYU
304,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,RANTO BAEK
305,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,KOTANOPAN
306,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,ULU PUNGKUT
307,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,TAMBANGAN
308,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,LEMBAH SORIK MARAPI
309,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,PUNCAK SORIK MARAPI
310,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,MUARA SIPONGI
311,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,PAKANTAN
312,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,PANYABUNGAN
313,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,PANYABUNGAN SELATAN
314,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,PANYABUNGAN BARAT
315,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,PANYABUNGAN UTARA
316,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,PANYABUNGAN TIMUR
317,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,HUTA BARGOT
318,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,NATAL
319,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,MUARA BATANG GADIS
320,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,SIABU
321,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,BUKIT MALINTANG
322,SUMATERA UTARA,KABUPATEN MANDAILING NATAL,NAGA JUANG
323,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,BATANG ANGKOLA
324,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,SAYUR MATINGGI
325,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,TANO TOMBANGAN ANGKOLA
326,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,ANGKOLA TIMUR
327,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,ANGKOLA SELATAN
328,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,ANGKOLA  BARAT
329,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,ANGKOLA SANGKUNUR
330,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,BATANG TORU
331,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,MARANCAR
332,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,MUARA BATANG TORU
333,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,SIPIROK
334,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,ARSE
335,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,SAIPAR DOLOK HOLE
336,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,AEK BILAH
337,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,PINANG SORI
338,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,BADIRI
339,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,SIBABANGUN
340,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,LUMUT
341,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,SUKABANGUN
342,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,PANDAN
343,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,TUKKA
344,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,SARUDIK
345,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,TAPIAN NAULI
346,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,SITAHUIS
347,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,KOLANG
348,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,SORKAM
349,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,SORKAM BARAT
350,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,PASARIBU TOBING
351,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,BARUS
352,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,SOSOR GADONG
353,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,ANDAM DEWI
354,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,BARUS UTARA
355,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,MANDUAMAS
356,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,SIRANDORUNG
357,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,PARMONANGAN
358,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,ADIANKOTING
359,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,SIPOHOLON
360,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,TARUTUNG
361,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,SIATAS BARITA
362,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,PAHAE JULU
363,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,PAHAE JAE
364,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,PURBATUA
365,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,SIMANGUMBAN
366,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,PANGARIBUAN
367,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,GAROGA
368,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,SIPAHUTAR
369,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,SIBORONGBORONG
370,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,PAGARAN
371,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,MUARA
372,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,BALIGE
373,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,TAMPAHAN
374,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,LAGUBOTI
375,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,HABINSARAN
376,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,BORBOR
377,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,NASSAU
378,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,SILAEN
379,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,SIGUMPAR
380,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,PORSEA
381,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,PINTU POHAN MERANTI
